DepMap_ID	cell_line_name	stripped_cell_line_name	CCLE_Name	alias	COSMICID	sex	source	Achilles_n_replicates	cell_line_NNMD	culture_type	culture_medium	cas9_activity	RRID	WTSI_Master_Cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	Subtype	age	Sanger_Model_ID	depmap_public_comments	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype
ACH-000210	CADO-ES1	CADOES1	CADOES1_BONE	CADO-ES-1	753539	Female	DSMZ	0	-1.5806975110000001	Mixed adherent and suspension	RPMI + 10% FBS	97.8	CVCL_1103	1523	pleural_effusion	Metastasis	Bone Cancer	Ewings Sarcoma	19	SIDM00961	NA	bone	Ewing_sarcoma	NA	EWS_ERG
ACH-001283	TC-106	TC106	TC106_BONE	NA	NA	Male	Academic lab	2	-4.224490128	not found	not found	60.2	CVCL_F531	NA	skin	Metastasis	Bone Cancer	Ewings Sarcoma	19	NA	NA	bone	Ewing_sarcoma	NA	EWS_ERG
ACH-001431	TC205	TC205	TC205_BONE	NA	NA	Unknown	Academic lab	2	-2.632445228	not found	not found	53.6	CVCL_4Z31	NA	bone	NA	Bone Cancer	Ewings Sarcoma	NA	NA	NA	bone	Ewing_sarcoma	NA	EWS_FEV
ACH-000039	SK-N-MC	SKNMC	SKNMC_BONE	NA	NA	Female	ATCC	3	-2.627972269	Adherent	EMEM + 10% FBS	65.3	CVCL_0530	NA	bone	Metastasis	Bone Cancer	Ewings Sarcoma	14	SIDM00634	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-000041	RD-ES	RDES	RDES_BONE	NA	NA	Male	ATCC	2	-2.731637336	Adherent	RPMI + 15% FBS	88.3	CVCL_2169	NA	bone	Primary	Bone Cancer	Ewings Sarcoma	19	NA	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-000052	A-673	A673	A673_BONE	NA	684052	Female	ATCC	2	-2.945665017	Adherent	DMEM + 10% FBS	67.2	CVCL_0080	660	soft_tissue	Primary	Bone Cancer	Ewings Sarcoma	15	SIDM00848	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-000087	SK-ES-1	SKES1	SKES1_BONE	NA	684072	Male	ATCC	2	-3.08213226	NA	McCoy's 5A + 15% FBS	58	CVCL_0627	41	bone	Primary	Bone Cancer	Ewings Sarcoma	18	SIDM01111	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-000279	EWS502	EWS502	EWS502_BONE	NA	NA	Unknown	Academic lab	2	-4.550667876	not found	not found	84.3	CVCL_S740	NA	bone	NA	Bone Cancer	Ewings Sarcoma	NA	NA	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-000391	MHH-ES-1	MHHES1	MHHES1_BONE	NA	908134	Male	DSMZ	2	-2.888768853	Adherent	RPMI + 10% FBS	61.4	CVCL_1411	339	ascites	Metastasis	Bone Cancer	Ewings Sarcoma	12	SIDM00386	NA	bone	Ewing_sarcoma	NA	EWS_FLI
ACH-000499	EW8	EW8	EW8_BONE	NA	NA	Male	Academic lab	2	-2.872731124	not found	not found	56.8	CVCL_V618	NA	bone	NA	Bone Cancer	Ewings Sarcoma	NA	NA	NA	bone	Ewing_sarcoma	NA	EWS_FLI
