Gene	Coefficient
LOC441461	-1.11147
LOC641518	-1.26063
CALML5	-1.58896
ECI2	1.59528
CXCL17	-1.31493
FAIM2	-1.16224
C11orf48	1.29247
TSEN2	1.29095
DCAF5	-1.19867
FAM216A	1.46995
THG1L	1.43165
TPRXL	-1.20512
SCGN	-1.37289
CAPN8	-1.51278
CAPN9	-1.19996
FAM174B	-1.58523
RPL36	1.17599
ATP6V1E1	-1.22087
EARS2	1.21638
SH3GLB1	-1.27511
ALG8	1.22804
LOC285556	-1.17822
RIIAD1	-1.34559
WDR75	1.24375
RNASE1	-1.49348
WBSCR17	-1.13942
PPP1R3B	-1.4951
BOLA3	1.22746
KCNQ1	-1.17832
C2orf54	-1.25498
ADAM12	-1.48037
GEMIN4	1.36272
GEMIN5	1.28744
CHMP4B	-1.2759
SCG3	-1.83905
C2CD4A	-1.51447
KALRN	-1.11385
KLK8	-1.33067
NUP160	1.32974
KLK6	-1.60833
HSD11B2	-1.28337
CLEC7A	-1.13998
NPBWR1	-1.08727
ESD	1.32843
DVL3	-1.25615
LYAR	1.46464
WDTC1	-1.14431
ZBTB7C	-1.22788
TMEM86A	-1.19621
NOP16	1.43368
HSPA4	1.30871
OSBPL2	-1.27479
ERLIN1	1.28312
TNFRSF10B	1.53927
MTHFR	-1.12877
OSTalpha	-1.15949
NR0B2	-1.19007
GNB2L1	1.10048
LOC439949	1.41824
IGSF11	-1.38772
GJB1	-1.34986
MAFB	-1.9233
GALNTL5	-1.09057
SSPN	-1.8783
SFXN4	1.34349
SFXN1	1.30228
RNF183	-1.32362
RNF186	-1.1328
SFTA2	-1.65345
TMEM45B	-1.91414
ST6GALNAC1	-1.62347
SLC44A4	-1.32005
TSEN15	1.32454
FAF2	1.21516
MS4A7	-1.13092
CELF4	-1.21076
BHLHE41	-1.48707
NAT10	1.29537
SNX10	2.10294
IDE	1.25345
DUSP18	-1.16187
LRRC31	-1.46158
MRPL42	1.2047
ATIC	1.20415
MB	-1.61385
C1QBP	1.27993
RARS	1.23722
PRKG2	-1.15777
ATP7A	-1.34616
KIAA1704	1.30893
BCAS1	-1.36267
ZNF880	-1.92673
MRPS27	1.26203
RIPK3	-1.20212
TSC22D3	-1.58913
PRMT3	1.47361
VPS13D	-1.18989
HAUS6	1.35154
LOC729173	-1.1028
MMEL1	-1.23986
PPRC1	1.25793
CBFA2T2	-1.265
SIRT2	-1.26055
C9orf152	-1.60047
CATSPERB	-1.23469
SETBP1	-1.80665
IRF4	-1.13719
ELF5	-1.24888
CEACAM5	-1.89571
LOC100652843	-1.1619
LOC645591	-1.44501
SOS2	-1.19921
DBN1	1.55135
CATSPER1	1.51482
PRUNE2	-1.8717
SEZ6	-1.17205
DDX21	1.24141
ADCY2	-1.12115
TMA16	1.37999
RNF2	1.24787
DLL3	-1.30821
MUC1	-1.71504
ACVR1C	-1.28707
MTHFD1L	1.27356
TCOF1	1.25381
LINC00518	-1.27029
ERBB2	-1.52264
HEATR2	1.28768
TNNI2	-1.16606
IL12RB2	-1.26353
CHGA	-1.52108
LOC100505989	-1.51135
C4orf3	-1.44729
MTX3	1.2713
SAAL1	1.3368
TMEM61	-1.29722
NOC3L	1.28663
NPM3	1.52744
KLF8	-1.18448
CAPN13	-1.23914
NELL1	-1.53281
EIF3M	1.27516
IMPDH2	1.28697
TTC3	-1.37453
NAA15	1.24202
LOC440335	-1.39406
NUP37	1.20075
