Gene	Coefficient
CYFIP2	-1.919732645
LOC400879	-2.962682009
SERPINE2	-2.525299946
RPL34	-1.635972063
CLDN1	-2.492628495
TSKU	-1.553364694
MYLK	1.40561229
GLS	-1.68901511
KRTCAP3	-2.806677381
GJA1	3.88756911
HOXA9	-3.678787092
SOX15	1.289994518
PPP4R4	1.257977724
DPYSL3	3.413787444
NAMPT	-2.363978148
CYP1B1	-4.074807743
RTTN	2.949358026
LIPK	-1.491195321
PRSS3	3.109461387
GPR177	1.487827738
PRSS2	1.354130348
HOXA5	-1.708338777
FTHL3	-1.64380765
GSTK1	-1.407498956
FTHL2	-1.826365153
CXADR	-1.917556723
NUP210	-1.476492306
TSTD1	-2.069603682
DNTTIP1	1.30280753
OKL38	-1.575600187
DKK1	1.802143733
DKK3	5.224193513
SYTL2	-2.008759747
TP73L	1.843814651
LOC100131139	-2.887924035
MTAP	3.282329122
BIN1	-1.439063966
LOC341230	-2.124263048
FEZ1	3.028301656
MAP1B	1.330741247
CLDN8	-1.837603708
TXNIP	-2.777372996
PADI4	-1.835890085
RPL28	-2.061011334
CFB	-3.916925609
GNE	-2.231625279
CFD	-3.147838295
LXN	-2.475834846
ABCB6	-1.836347977
CRABP2	-2.654685338
CDCA4	1.422409495
MFI2	-1.501933177
IL20RB	-1.298060377
LYPD3	-1.859284838
THY1	1.927410841
LYPD5	1.335533381
KIAA1370	-1.337191343
SULT1A1	-1.609806061
PLAC8	-1.645519515
C3	-1.778087497
LOC652669	-2.008767386
LOC653879	-2.188600123
PDGFC	-1.384472768
ST3GAL5	1.710904558
HOXC4	1.264947871
SFN	1.500489434
C10orf59	-1.454278857
AFAP1L2	1.737032314
JAG1	2.042345007
NEBL	-1.39751478
GRTP1	-1.437137683
CYP4F3	-2.169829071
LOC340274	-2.313089212
BTBD11	1.254448414
FLI1	1.98173519
ELL3	-1.253481716
SLC16A14	-1.426407794
AIF1L	-2.205924292
FOSL1	1.882110516
LOC653506	-1.37036101
FERMT1	2.579562704
PHCA	1.592488448
FXYD3	-2.324451397
TCN1	-4.298799237
LOC729231	1.6796544
CYP1A1	-1.439335346
SNAI2	2.377021352
FAT2	1.756199042
TNFSF9	-2.192333162
