Gene	Coefficient
GINS4 	0.34992914 
PAQR4 	0.403637533 
DDEFL1 	2.831304908 
KIAA0513 	2.143071941 
DAPK1 	2.574357992 
TNFRSF14 	2.33571907 
NFE2L1 	2.134717132 
FANCI 	0.362953568 
TACC3 	0.408404594 
TTK 	0.426424331 
C16orf59 	0.387077719 
CDCA8 	0.458009337 
TUBB2C 	0.379517932 
BBOX1 	2.251985602 
ZNF467 	2.339376189 
HLA-E 	2.167692279 
SFRS2 	0.390532688 
E2F2 	0.230691242 
ASF1B 	0.287942058 
LRP8 	0.2119 
CCNA2 	0.332440562 
HIST2H2AA3 	4.324044056 
C1orf112 	0.420918188 
C1orf54 	2.086238116 
CHAF1A 	0.37843314 
CPE 	2.042128622 
MCM2 	0.26377616 
CDCA7 	0.169231795 
CDKN1C 	2.653156246 
PHLDA3 	2.097599889 
GINS2 	0.265087383 
SLC45A3 	0.324061764 
MT1G 	0.159370727 
NGFRAP1 	2.125393091 
BTG1 	2.328370191 
DDIT3 	7.12143311 
ALG8 	0.459931384 
POLR3K 	0.422497011 
HMGB3 	0.267665767 
C20orf19 	3.47770913 
PRC1 	0.352953919 
POLA2 	0.32127739 
STAT2 	3.442006522 
PPIL5 	0.466143455 
MOSC1 	0.283870844 
GINS3 	0.279368216 
HELLS 	0.403845101 
LOC554223 	2.957286603 
CCDC138 	0.419424514 
BTG2 	2.834902128 
DKFZp762E1312 	0.400595072 
MSH6 	0.328747507 
NEIL3 	0.400829876 
HIST1H1C 	3.986331976 
PLK4 	0.434079417 
C16orf68 	2.03686802 
LMNB2 	0.465656986 
RAD54B 	0.367827083 
RIOK3 	3.32215702 
DNMT1 	0.485424175 
PEX11G 	3.143788641 
EXO1 	0.283496273 
PLCD1 	3.103719883 
CENPJ 	0.310824975 
SRPK2 	5.325304387 
HSD17B8 	2.875672637 
FDPS 	0.353597022 
WIPI1 	2.856431861 
FAM134B 	2.482458403 
IL1R2 	0.225339229 
PDSS1 	0.370073998 
RNASEH2A 	0.413995749 
SLC25A13 	0.3253731 
WDHD1 	0.453924776 
LAMB2 	2.170610365 
C5orf38 	2.118568019 
LOC91431 	0.385916163 
FXYD3 	2.034946132 
MCM5 	0.361122949 
LOC153222 	3.010405852 
TMEM171 	0.436850004 
GJB2 	0.13778637 
RAD54L 	0.247156598 
FHOD3 	0.213409863 
C10orf73 	2.86756586 
ATP10B 	11.45032332 
C6orf48 	6.593923999 
PDXP 	0.431043682 
AADAT 	0.471246673 
C4orf34 	4.236108296 
MME 	2.339763099 
KRT6B 	0.442537237 
METTL3 	0.385454605 
C20orf82 	0.282047868 
DCN 	4.181060184 
CCNE1 	0.343650087 
DEPDC1 	0.497440983 
CSE1L 	0.394431066 
MCM3 	0.228162447 
SERTAD4 	0.18207468 
CYP4F3 	4.368530719 
NCAPD3 	0.364830202 
SUV39H1 	0.423203551 
WDR79 	0.364409741 
HIST1H2BD 	4.101156716 
CBLB 	2.54518407 
ZBTB43 	2.074065723 
KIF2C 	0.418667418 
DCC1 	0.206451446 
SDCBP2 	4.968487042 
KLHDC9 	2.450057928 
KIF11 	0.378590319 
TAF5 	0.425569854 
PCNA 	0.340403373 
TERF1 	3.482586178 
BRCA1 	0.158563144 
LEMD1 	8.298821835 
MLKL 	0.240197193 
NUP205 	0.430884869 
PBK 	0.383136451 
PLEK2 	0.385948815 
FAM43A 	2.456029939 
C15orf42 	0.40006462 
DPYSL3 	0.497744786 
AHSA1 	0.291138066 
KIF14 	0.410810049 
CKB 	2.312561594 
CCDC92 	1.988802427 
CDC7 	0.272959484 
FAM81A 	0.424131071 
BRI3BP 	0.284146678 
RFC4 	0.476683584 
ARSD 	2.685153685 
LYRM5 	2.30296076 
ALDH3B1 	5.644456865 
C13orf3 	0.445754679 
RFC3 	0.398641422 
HSPCAL3 	0.493118902 
OIP5 	0.394631063 
VRK1 	0.423989177 
DUT 	0.279152938 
SFPQ 	0.481054817 
FAM83D 	0.369533225 
TMEM20 	0.436129606 
GEMIN6 	0.463668631 
ADM 	3.507136497 
KCNB1 	3.512882407 
ESPL1 	0.438541867 
KNTC1 	0.424654967 
RRAGD 	2.62423036 
SIDT2 	2.112281647 
PROS1 	3.552265771 
HIST2H2BE 	6.792939944 
DNA2L 	0.356982629 
HSPE1 	0.390678428 
MCM7 	0.188847528 
CDCA2 	0.443962977 
SPC25 	0.233682075 
CCNB1IP1 	2.260486552 
TK1 	0.342473588 
VAMP5 	2.155872871 
GPSM1 	5.576670286 
TUBA4A 	0.412249298 
POLE2 	0.198641319 
ASPM 	0.443153553 
SLC25A10 	0.366757353 
MLF1IP 	0.346703192 
MTBP 	0.464321314 
EFHD2 	0.44862624 
AURKB 	0.402971907 
C14orf145 	0.460067907 
FBLN1 	2.900641315 
C11orf82 	0.473975374 
DONSON 	0.453743753 
RFC5 	0.288510894 
TIMELESS 	0.452567432 
LOC729843 	2.240952378 
POLD1 	0.284141798 
CCNB1 	0.455416335 
INSIG1 	0.381245218 
PRPF38A 	0.490689798 
ST6GALNAC2 	2.275729691 
CRYAB 	3.459757302 
TMC4 	4.228104654 
ALDH6A1 	3.236368847 
HSD11B2 	3.685418769 
TXNIP 	7.639216083 
XPC 	2.121985007 
FLRT3 	3.018533191 
BLM 	0.348773858 
TIGA1 	3.35887033 
ESCO2 	0.313473636 
ANLN 	0.220233364 
DLG7 	0.282026557 
NETO2 	0.493065798 
C1QTNF6 	0.371633949 
DHFR 	0.281528978 
C17orf41 	0.455972071 
C10orf119 	0.484065665 
FOXO3 	2.205289859 
LOH11CR2A 	4.141721251 
SHCBP1 	0.467173825 
CDCA3 	0.306614829 
LOC649679 	0.395338751 
FEN1 	0.334630816 
