Gene	Coefficient
GINS4 	0.397590206 
PAQR4 	0.325099965 
DDEFL1 	2.330241437 
KIAA0513 	3.793709125 
DAPK1 	2.406259316 
TNFRSF14 	2.137889646 
NFE2L1 	3.102526832 
FANCI 	0.27714391 
TACC3 	0.406554646 
TTK 	0.31057514 
C16orf59 	0.348590363 
CDCA8 	0.468274295 
TUBB2C 	0.276899674 
BBOX1 	5.101010704 
ZNF467 	9.782257743 
HLA-E 	2.634597676 
SFRS2 	0.316329318 
E2F2 	0.244206305 
ASF1B 	0.423418935 
LRP8 	0.11377922 
CCNA2 	0.213349768 
HIST2H2AA3 	4.473779701 
C1orf112 	0.324277978 
C1orf54 	2.204903467 
CHAF1A 	0.336662265 
CPE 	3.362317582 
MCM2 	0.466051283 
CDCA7 	0.149774939 
CDKN1C 	5.001456828 
PHLDA3 	2.194606519 
GINS2 	0.199445581 
SLC45A3 	0.347337365 
MT1G 	0.373634708 
NGFRAP1 	2.155877241 
BTG1 	3.436277395 
DDIT3 	3.241077612 
ALG8 	0.34249794 
POLR3K 	0.217136309 
HMGB3 	0.331624044 
C20orf19 	2.553267054 
PRC1 	0.490738832 
POLA2 	0.270346496 
STAT2 	3.884351895 
PPIL5 	0.20799048 
MOSC1 	0.415193499 
GINS3 	0.40781609 
HELLS 	0.28088811 
LOC554223 	2.079672605 
CCDC138 	0.430872244 
BTG2 	2.640251946 
DKFZp762E1312 	0.329481242 
MSH6 	0.387901586 
NEIL3 	0.340233684 
HIST1H1C 	4.955179276 
PLK4 	0.214727663 
C16orf68 	2.100196149 
LMNB2 	0.323818461 
RAD54B 	0.409954771 
RIOK3 	2.605796727 
DNMT1 	0.182510347 
PEX11G 	2.225466822 
EXO1 	0.210743816 
PLCD1 	2.714776962 
CENPJ 	0.419963352 
SRPK2 	2.258578768 
HSD17B8 	2.062796161 
FDPS 	0.364043512 
WIPI1 	2.139754972 
FAM134B 	3.930706724 
IL1R2 	0.406780327 
PDSS1 	0.240810306 
RNASEH2A 	0.462917657 
SLC25A13 	0.305206171 
WDHD1 	0.474699598 
LAMB2 	5.262791822 
C5orf38 	2.570042221 
LOC91431 	0.366862555 
FXYD3 	2.345240468 
MCM5 	0.376173673 
LOC153222 	5.484720047 
TMEM171 	0.397406358 
GJB2 	0.197887008 
RAD54L 	0.294672815 
FHOD3 	0.287331079 
C10orf73 	3.010173261 
ATP10B 	2.807987684 
C6orf48 	2.673042098 
PDXP 	0.263717857 
AADAT 	0.432906783 
C4orf34 	2.075490432 
MME 	6.618886123 
KRT6B 	0.228058829 
METTL3 	0.412052777 
C20orf82 	0.43533254 
DCN 	12.01697678 
CCNE1 	0.419104484 
DEPDC1 	0.32884443 
CSE1L 	0.271888069 
MCM3 	0.280171156 
SERTAD4 	0.273485421 
CYP4F3 	9.630675504 
NCAPD3 	0.319214047 
SUV39H1 	0.432156373 
WDR79 	0.427644086 
HIST1H2BD 	4.597808603 
CBLB 	2.291347694 
ZBTB43 	2.718191208 
KIF2C 	0.448261475 
DCC1 	0.200721172 
SDCBP2 	2.461071006 
KLHDC9 	3.623070326 
KIF11 	0.441673691 
TAF5 	0.479227521 
PCNA 	0.270480217 
TERF1 	1.991253458 
BRCA1 	0.25875128 
LEMD1 	4.393202458 
MLKL 	0.308172247 
NUP205 	0.320644827 
PBK 	0.240156165 
PLEK2 	0.253868122 
FAM43A 	2.108117225 
C15orf42 	0.467109046 
DPYSL3 	0.485819178 
AHSA1 	0.296262701 
KIF14 	0.250165238 
CKB 	7.575166667 
CCDC92 	2.371967747 
CDC7 	0.277675657 
FAM81A 	0.420442615 
BRI3BP 	0.201364129 
RFC4 	0.342311821 
ARSD 	3.551956525 
LYRM5 	2.116004462 
ALDH3B1 	7.888853059 
C13orf3 	0.327124395 
RFC3 	0.241213108 
HSPCAL3 	0.161605784 
OIP5 	0.434913387 
VRK1 	0.338598343 
DUT 	0.300012948 
SFPQ 	0.439841148 
FAM83D 	0.356804634 
TMEM20 	0.339034609 
GEMIN6 	0.454838668 
ADM 	2.790489783 
KCNB1 	4.27557549 
ESPL1 	0.477971948 
KNTC1 	0.413041207 
RRAGD 	10.52803111 
SIDT2 	3.533338894 
PROS1 	8.242123767 
HIST2H2BE 	3.042201085 
DNA2L 	0.332038826 
HSPE1 	0.41326361 
MCM7 	0.400174601 
CDCA2 	0.311930759 
SPC25 	0.255831346 
CCNB1IP1 	3.520711353 
TK1 	0.367366618 
VAMP5 	2.337641787 
GPSM1 	4.673408574 
TUBA4A 	0.299658729 
POLE2 	0.214157747 
ASPM 	0.293972923 
SLC25A10 	0.385938871 
MLF1IP 	0.424337986 
MTBP 	0.372819049 
EFHD2 	0.461810762 
AURKB 	0.401651106 
C14orf145 	0.474498081 
FBLN1 	3.547087241 
C11orf82 	0.183979576 
DONSON 	0.391871865 
RFC5 	0.39454717 
TIMELESS 	0.315361239 
LOC729843 	4.003816651 
POLD1 	0.46657568 
CCNB1 	0.371344069 
INSIG1 	0.334432531 
PRPF38A 	0.408319042 
ST6GALNAC2 	3.793785344 
CRYAB 	4.33880944 
TMC4 	4.020721003 
ALDH6A1 	5.167951941 
HSD11B2 	10.68222189 
TXNIP 	7.211355318 
XPC 	2.38238061 
