DepMapID	CellLine_Name	CellLine_Name_Cleaned	Cancer_Type	Cancer_Subtype	DerivedFrom_Primary_or_Met	BRCA_Status_12
ACH-000984	HEC-6	HEC6	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Primary	BRCA2
ACH-000042	Panc 02.03	PANC0203	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary	No
ACH-000223	HCC1937	HCC1937	Breast Cancer	Breast Ductal Carcinoma	Primary	No
ACH-000857	CAL-85-1	CAL851	Breast Cancer	Carcinoma	Primary	BRCA2
ACH-000691	HCC2157	HCC2157	Breast Cancer	Breast Ductal Carcinoma	Primary	BRCA1
ACH-000430	TYK-nu	TYKNU	Ovarian Cancer	Adenocarcinoma_high grade serous	Primary	No
ACH-001376	PACADD-135	PACADD135	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	No
ACH-002322	HCC2185	HCC2185	Breast Cancer	NA	Metastasis	No
ACH-000996	HEC-251	HEC251	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Primary	BRCA2
ACH-000941	HEC-1-B	HEC1B	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Primary	No
ACH-000213	HUP-T4	HUPT4	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	No
ACH-000443	OVKATE	OVKATE	Ovarian Cancer	Adenocarcinoma_high grade serous	Primary	No
ACH-000699	HCC1395	HCC1395	Breast Cancer	Breast Ductal Carcinoma	Primary	BRCA2
ACH-000909	JHUEM-2	JHUEM2	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Primary	BRCA2
ACH-000524	KURAMOCHI	KURAMOCHI	Ovarian Cancer	Adenocarcinoma_high grade serous	Metastasis	BRCA2
ACH-002181	OVCA420	OVCA420	Ovarian Cancer	Adenocarcinoma_serous	NA	No
ACH-002186	PL4	PL4	Pancreatic Cancer	Ductal Adenocarcinoma	NA	No
ACH-000574	FU-OV-1	FUOV1	Ovarian Cancer	Adenocarcinoma_high grade serous	Primary	No
ACH-000966	IGROV1	IGROV1	Ovarian Cancer	Adenocarcinoma_mixed	Primary	BRCA2
ACH-000885	TOV-21G	TOV21G	Ovarian Cancer	Adenocarcinoma_clear cell	Primary	No
ACH-000307	PK-1	PK1	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	No
ACH-000192	MFE-280	MFE280	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Primary	No
ACH-000278	COV362	COV362	Ovarian Cancer	Adenocarcinoma_high grade serous	Metastasis	BRCA1
ACH-000568	UACC-812	UACC812	Breast Cancer	Breast Ductal Carcinoma	Primary	No
ACH-000256	COV318	COV318	Ovarian Cancer	Adenocarcinoma_high grade serous	Metastasis	No
ACH-000031	Panc 02.13	PANC0213	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary	No
ACH-000117	EFM-192A	EFM192A	Breast Cancer	Adenocarcinoma	Metastasis	No
ACH-000248	AU565	AU565	Breast Cancer	Adenocarcinoma	Metastasis	No
ACH-000701	RMUG-S	RMUGS	Ovarian Cancer	Cystadenocarcinoma_mucinous	Primary	No
ACH-001651	SKG-I	SKGI	Endometrial/Uterine Cancer	Endometrial Squamous Cell Carcinoma	Primary	No
ACH-000542	Hey-A8	HEYA8	Ovarian Cancer	Adenocarcinoma_low grade serous	Metastasis	No
ACH-002026	HHUA	HHUA	Endometrial/Uterine Cancer	NA	Primary	No
ACH-000755	HCC2218	HCC2218	Breast Cancer	Breast Ductal Carcinoma	Primary	No
ACH-000114	SU.86.86	SU8686	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	No
ACH-000831	HEC-50B	HEC50B	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Metastasis	No
ACH-002319	184A1	184A1	Breast Cancer	Unknown	NA	No
ACH-000435	EFE-184	EFE184	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Metastasis	No
ACH-001395	SUM-44PE	SUM44PE	Breast Cancer	Carcinoma	Metastasis	No
ACH-000978	EN	EN	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Primary	BRCA2
ACH-000972	HEC-151	HEC151	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Primary	No
ACH-000085	T3M-4	T3M4	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary	No
ACH-000768	MDA-MB-231	MDAMB231	Breast Cancer	Carcinoma	Metastasis	No
ACH-000936	EFO-27	EFO27	Ovarian Cancer	Adenocarcinoma_endometrioid	Metastasis	BRCA2
ACH-000934	MDA-MB-361	MDAMB361	Breast Cancer	Carcinoma	Metastasis	BRCA2
ACH-000097	ZR-75-1	ZR751	Breast Cancer	Breast Ductal Carcinoma	Metastasis	No
ACH-000205	PK-59	PK59	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	BRCA2
ACH-002185	PL18	PL18	Pancreatic Cancer	Ductal Adenocarcinoma	NA	No
ACH-001374	PA-1 [PA1]	PA1	Ovarian Cancer	NA	Metastasis	No
ACH-002039	PK-8	PK8	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	No
ACH-000397	TEN	TEN	Endometrial/Uterine Cancer	Clear Cell Carcinoma	Primary	No
ACH-000759	MDA-MB-175-VII	MDAMB175VII	Breast Cancer	Breast Ductal Carcinoma	Metastasis	No
ACH-000711	JIMT-1	JIMT1	Breast Cancer	Breast Ductal Carcinoma	Metastasis	No
ACH-000624	HCC1806	HCC1806	Breast Cancer	Breast Ductal Carcinoma	Primary	No
ACH-001375	PACADD-119	PACADD119	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary	No
ACH-000164	PANC-1	PANC1	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary	No
ACH-000320	PSN1	PSN1	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary	No
ACH-000094	HPAF-II	HPAFII	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	No
ACH-000178	Hs 766T	HS766T	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	No
ACH-000859	HCC1954	HCC1954	Breast Cancer	Breast Ductal Carcinoma	Primary	BRCA1
ACH-000022	PA-TU-8988S	PATU8988S	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	No
ACH-001390	SUM-149PT	SUM149PT	Breast Cancer	Breast Ductal Carcinoma	Primary	BRCA1
ACH-002183	OVMIU	OVMIU	Ovarian Cancer	Adenocarcinoma_high grade serous	NA	BRCA2
ACH-001048	COV504	COV504	Ovarian Cancer	Adenocarcinoma_high grade serous	Metastasis	No
ACH-001820	COLO-824	COLO824	Breast Cancer	NA	Metastasis	No
ACH-000277	HCC1419	HCC1419	Breast Cancer	Breast Ductal Carcinoma	Primary	No
ACH-000988	MFE-319	MFE319	Endometrial/Uterine Cancer	NA	NA	BRCA2
ACH-000933	SNU-324	SNU324	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	NA	BRCA2
ACH-001379	PACADD-161	PACADD161	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	No
ACH-002399	21NT	21NT	Breast Cancer	Carcinoma	Primary	No
ACH-001388	SUM-102PT	SUM102PT	Breast Cancer	Carcinoma	Primary	No
ACH-000990	HEC-108	HEC108	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Primary	BRCA2
ACH-000704	OAW42	OAW42	Ovarian Cancer	Carcinoma	Metastasis	No
ACH-001279	SCCOHT-1	SCCOHT1	Ovarian Cancer	Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT)	NA	No
ACH-000048	TOV-112D	TOV112D	Ovarian Cancer	Adenocarcinoma_endometrioid	Primary	No
ACH-001403	TO14	TO14	Ovarian Cancer	Cystadenocarcinoma	Metastasis	No
ACH-000352	HCC1428	HCC1428	Breast Cancer	Carcinoma	Metastasis	No
ACH-000646	OVMANA	OVMANA	Ovarian Cancer	Adenocarcinoma_clear cell	Primary	BRCA2
ACH-000940	AN3 CA	AN3CA	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	Metastasis	No
ACH-001145	OC 316	OC316	Ovarian Cancer	Adenocarcinoma_serous	Metastasis	BRCA2
ACH-000354	Capan-1	CAPAN1	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	BRCA2
ACH-000332	YAPC	YAPC	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis	No
ACH-002140	Hey	HEY	Ovarian Cancer	Adenocarcinoma_high grade serous	NA	No
ACH-002163	MRK-nu-1	MRKNU1	Breast Cancer	Carcinoma	NA	BRCA2
ACH-000212	CAL-120	CAL120	Breast Cancer	Carcinoma	Metastasis	No
ACH-000910	MDA-MB-453	MDAMB453	Breast Cancer	Carcinoma	Metastasis	No
ACH-001378	PACADD-159	PACADD159	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary	No
