Gene	MGI.symbol	Coefficient
CALML5	Calm4	-1.58896
CALML5	Calm5	-1.58896
CELF4	Celf4	-1.21076
MTHFD1L	Mthfd1l	1.27356
IRF4	Irf4	-1.13719
SCGN	Scgn	-1.37289
NPBWR1	Npbwr1	-1.08727
CATSPER1	Catsper1	1.51482
DUSP18	Dusp18	-1.16187
DVL3	Dvl3	-1.25615
ECI2	Eci3	1.59528
ECI2	Eci2	1.59528
LRRC31	Lrrc31	-1.46158
ADCY2	Adcy2	-1.12115
MB	Mb	-1.61385
HSPA4	Hspa4	1.30871
SIRT2	Sirt2	-1.26055
IL12RB2	Il12rb2	-1.26353
CXCL17	Cxcl17	-1.31493
TMEM45B	Tmem45b	-1.91414
SOS2	Sos2	-1.19921
ZBTB7C	Zbtb7c	-1.22788
IGSF11	Igsf11	-1.38772
IDE	Ide	1.25345
ATP7A	Atp7a	-1.34616
GALNTL5	Galntl5	-1.09057
CEACAM5	Ceacam10	-1.89571
CEACAM5	Ceacam1	-1.89571
CEACAM5	Ceacam2	-1.89571
GJB1	Gjb1	-1.34986
RNASE1	Rnase1	-1.49348
PPP1R3B	Ppp1r3b	-1.4951
SETBP1	Setbp1	-1.80665
TMA16	Tma16	1.37999
DBN1	Dbn1	1.55135
MS4A7	Ms4a7	-1.13092
DLL3	Dll3	-1.30821
DCAF5	Dcaf5	-1.19867
WDR75	Wdr75	1.24375
DDX21	Ddx21	1.24141
RNF183	Rnf183	-1.32362
NAA15	Naa15	1.24202
THG1L	Thg1l	1.43165
SNX10	Snx10	2.10294
SFXN1	Sfxn1	1.30228
FAF2	Faf2	1.21516
PRUNE2	Prune2	-1.8717
KALRN	Kalrn	-1.11385
C9orf152	D630039A03Rik	-1.60047
TCOF1	Tcof1	1.25381
NOC3L	Noc3l	1.28663
CLEC7A	Clec7a	-1.13998
EIF3M	Eif3m	1.27516
NPM3	Npm3	1.52744
ELF5	Elf5	-1.24888
CAPN13	Capn13	-1.23914
ATP6V1E1	Atp6v1e1	-1.22087
KLF8	Klf8	-1.18448
NUP160	Nup160	1.32974
PRKG2	Prkg2	-1.15777
IMPDH2	Impdh2	1.28697
KLK6	Klk6	-1.60833
SAAL1	Saal1	1.3368
SFXN4	Sfxn4	1.34349
TSEN2	Tsen2	1.29095
C1QBP	C1qbp	1.27993
ALG8	Alg8	1.22804
SLC44A4	Slc44a4	-1.32005
CATSPERB	Catsperb	-1.23469
VPS13D	Vps13d	-1.18989
MRPL42	Mrpl42	1.2047
MTX3	Mtx3	1.2713
TTC3	Ttc3	-1.37453
HAUS6	Haus6	1.35154
WDTC1	Wdtc1	-1.14431
KLK8	Klk8	-1.33067
RIIAD1	Riiad1	-1.34559
NR0B2	Nr0b2	-1.19007
NAT10	Nat10	1.29537
TMEM86A	Tmem86a	-1.19621
FAM216A	Fam216a	1.46995
CAPN9	Capn9	-1.19996
TSC22D3	Tsc22d3	-1.58913
FAIM2	Faim2	-1.16224
MRPS27	Mrps27	1.26203
MTHFR	Mthfr	-1.12877
SCG3	Scg3	-1.83905
ERBB2	Erbb2	-1.52264
RPL36	Rpl36	1.17599
ERLIN1	Erlin1	1.28312
GEMIN4	Gemin4	1.36272
GEMIN5	Gemin5	1.28744
ACVR1C	Acvr1c	-1.28707
NELL1	Nell1	-1.53281
RNF186	Rnf186	-1.1328
CHGA	Chga	-1.52108
RIPK3	Ripk3	-1.20212
ATIC	Atic	1.20415
RNF2	Rnf2	1.24787
NUP37	Nup37	1.20075
PRMT3	Prmt3	1.47361
SEZ6	Sez6	-1.17205
SSPN	Sspn	-1.8783
LYAR	Lyar	1.46464
EARS2	Ears2	1.21638
HSD11B2	Hsd11b2	-1.28337
ESD	Esd	1.32843
C4orf3	1810037I17Rik	-1.44729
BHLHE41	Bhlhe41	-1.48707
FAM174B	Fam174b	-1.58523
TMEM61	Tmem61	-1.29722
MUC1	Muc1	-1.71504
TSEN15	Tsen15	1.32454
SH3GLB1	Sh3glb1	-1.27511
BOLA3	Bola3	1.22746
MMEL1	Mmel1	-1.23986
PPRC1	Pprc1	1.25793
BCAS1	Bcas1	-1.36267
MAFB	Mafb	-1.9233
ADAM12	Adam12	-1.48037
CAPN8	Capn8	-1.51278
TNFRSF10B	Tnfrsf26	1.53927
TNFRSF10B	Tnfrsf22	1.53927
TNFRSF10B	Tnfrsf23	1.53927
OSBPL2	Osbpl2	-1.27479
TNNI2	Tnni2	-1.16606
CBFA2T2	Cbfa2t2	-1.265
CHMP4B	Chmp4b	-1.2759
ST6GALNAC1	St6galnac1	-1.62347
KCNQ1	Kcnq1	-1.17832
