DepMapID	correlation	CellLine_Name_Cleaned	Cancer_Type	Cancer_Subtype	DerivedFrom_Primary_or_Met
ACH-000001	-0.0643692139120104	NIHOVCAR3	Ovarian Cancer	Adenocarcinoma_high grade serous	Metastasis
ACH-000002	-0.08233049732905937	HL60	Leukemia	Acute Myelogenous Leukemia (AML)_M3 (Promyelocytic)	Primary
ACH-000003	-0.0613826992409376	CACO2	Colon/Colorectal Cancer	Adenocarcinoma	NA
ACH-000004	-0.036524440440118516	HEL	Leukemia	Acute Myelogenous Leukemia (AML)_M6 (Erythroleukemia)	NA
ACH-000005	-0.010982438049423057	HEL9217	Leukemia	Acute Myelogenous Leukemia (AML)_M6 (Erythroleukemia)	NA
ACH-000007	-0.16581506852547162	LS513	Colon/Colorectal Cancer	Adenocarcinoma	Primary
ACH-000008	0.004127687138189115	A101D	Skin Cancer	Melanoma	NA
ACH-000009	-0.0366624463280904	C2BBE1	Colon/Colorectal Cancer	Adenocarcinoma	Primary
ACH-000010	-0.03438662807937264	NCIH2077	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	NA
ACH-000011	-0.09254773467253906	253J	Bladder Cancer	Carcinoma	Metastasis
ACH-000017	-0.2410514816513024	SKBR3	Breast Cancer	Carcinoma	Metastasis
ACH-000018	0.2139379455128578	T24	Bladder Cancer	Carcinoma	Primary
ACH-000020	-0.016199213415097936	MHHCALL2	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	NA
ACH-000022	-0.20567412984570432	PATU8988S	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis
ACH-000023	0.02575330359881161	PATU8988T	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis
ACH-000026	-0.05527681578559656	253JBV	Bladder Cancer	Carcinoma	Metastasis
ACH-000028	-0.22238828700162255	KPL1	Breast Cancer	Carcinoma	Metastasis
ACH-000029	-0.13974500876416648	HCC827GR5	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000030	-0.1879145413409818	PC14	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000031	0.023764993522993653	PANC0213	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary
ACH-000032	0.006009510679490913	MHHCALL3	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	NA
ACH-000033	-0.0771292918598079	NCIH1819	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Metastasis
ACH-000035	-0.16750036222228945	NCIH1650	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Metastasis
ACH-000036	-0.02299247762950054	U343	Brain Cancer	Glioblastoma	NA
ACH-000038	-0.011731521293762757	EHEB	Lymphoma	B-cell	NA
ACH-000039	-0.02285960557433615	SKNMC	Bone Cancer	Ewings Sarcoma	Metastasis
ACH-000041	-0.02350575762781616	RDES	Bone Cancer	Ewings Sarcoma	Primary
ACH-000042	-0.12278202466605655	PANC0203	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary
ACH-000043	0.11187431967763155	HS895T	Fibroblast	Skin	Metastasis
ACH-000044	-0.18595462185490355	MDAMB134VI	Breast Cancer	Breast Ductal Carcinoma	Metastasis
ACH-000045	-0.08669709000423617	MV411	Leukemia	Acute Myelogenous Leukemia (AML)	Primary
ACH-000048	-0.001077628894987817	TOV112D	Ovarian Cancer	Adenocarcinoma_endometrioid	Primary
ACH-000049	0.0498614080353372	HEKTE	Engineered	NA	NA
ACH-000050	-0.06445383054554857	NCIH929	Myeloma	Multiple Myeloma_plasmacytoma	Metastasis
ACH-000051	0.009091249147991125	TE617T	Sarcoma	Rhabdomyosarcoma	Primary
ACH-000052	-0.025299990866857136	A673	Bone Cancer	Ewings Sarcoma	Primary
ACH-000053	-0.05885316694925867	KARPAS299	Lymphoma	T-cell_Non-Hodgkins_Anaplastic Large Cell (ALCL)	NA
ACH-000054	0.13854614405104398	HT1080	Sarcoma	Fibrosarcoma	Metastasis
ACH-000055	-0.011210869992811932	D283MED	Brain Cancer	Medulloblastoma	Metastasis
ACH-000056	-0.05694932333358292	DOHH2	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis
ACH-000057	-0.0411443925410769	OPM1	Myeloma	Multiple Myeloma	NA
ACH-000058	-0.07365302186746996	ML1	Thyroid Cancer	Carcinoma_follicular	NA
ACH-000059	0.03175144729720722	SUPB15	Leukemia	Acute Lymphoblastic Leukemia (ALL)_B-cell	Primary
ACH-000060	-0.06457983803929795	PANC1005	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary
ACH-000061	-0.023793131894120582	HH	Lymphoma	T-cell_Non-Hodgkins_Cutaneous	NA
ACH-000062	-0.07861405769068004	RERFLCMS	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Primary
ACH-000064	0.2530220850796488	SALE	Engineered	NA	NA
ACH-000065	-0.039605097313316386	OCIAML5	Leukemia	Acute Myelogenous Leukemia (AML)	Primary
ACH-000066	-0.07008343243891899	HCC4006	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC)_Adenocarcinoma	Metastasis
ACH-000067	0.061583558810760754	HS683	Brain Cancer	Oligodendroglioma	Primary
ACH-000068	-0.057586598731419296	REC1	Lymphoma	B-cell_Non-Hodgkins_Mantle Cell	NA
ACH-000069	-0.006214519335681265	HS611T	Lymphoma	B-cell_Hodgkins	NA
ACH-000072	-0.01957167165320471	MEG01	Leukemia	Chronic Myelogenous Leukemia (CML)	NA
ACH-000074	-0.06292503675000685	KU812	Leukemia	Chronic Myelogenous Leukemia (CML)_blast crisis	NA
ACH-000075	0.0363687126150682	U87MG	Brain Cancer	Astrocytoma	Primary
ACH-000076	-0.040004194538771874	NCO2	Leukemia	Chronic Myelogenous Leukemia (CML)	NA
ACH-000077	-0.04749317910255803	MJ	Lymphoma	T-cell_Non-Hodgkins_Cutaneous	NA
ACH-000079	0.07775032801478038	TE125T	Fibroblast	Soft tissue	NA
ACH-000081	-0.023114583040323107	GDM1	Leukemia	Acute Myelogenous Leukemia (AML)	NA
ACH-000085	0.11913320777961488	T3M4	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary
ACH-000086	0.03755931116755737	ACCMESO1	Lung Cancer	Mesothelioma	NA
ACH-000087	-0.0235141869479502	SKES1	Bone Cancer	Ewings Sarcoma	Primary
ACH-000090	0.08216873177216327	PC3	Prostate Cancer	Adenocarcinoma	Metastasis
ACH-000091	-0.0694117702036145	OV56	Ovarian Cancer	Adenocarcinoma_serous	Metastasis
ACH-000094	-0.11975607517129971	HPAFII	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Metastasis
ACH-000095	-0.02769384616423152	D341	Brain Cancer	Medulloblastoma	NA
ACH-000096	1.9407383825358477e-4	G401	Rhabdoid	Malignant Rhabdoid Tumor	Primary
ACH-000097	-0.24711192281990613	ZR751	Breast Cancer	Breast Ductal Carcinoma	Metastasis
ACH-000098	0.11779890220758005	GAMG	Brain Cancer	Glioblastoma	Primary
ACH-000099	9.873001481403218e-4	SIMA	Neuroblastoma	NA	NA
ACH-000100	0.056120912654500324	RH41	Sarcoma	Rhabdomyosarcoma_alveolar	Metastasis
ACH-000102	0.04336551566605784	GMS10	Brain Cancer	Glioblastoma	Primary
ACH-000104	-0.008195351314812062	LOUCY	Leukemia	Acute Lymphoblastic Leukemia (ALL)_T-cell	NA
ACH-000105	-0.024278202203190276	ALLSIL	Leukemia	Acute Lymphoblastic Leukemia (ALL)_T-cell	Primary
ACH-000106	-0.027666633272932006	JVM2	Lymphoma	B-cell_Non-Hodgkins_Mantle Cell	NA
ACH-000107	-0.12609531425336992	CAPAN2	Pancreatic Cancer	Ductal Adenocarcinoma_exocrine	Primary
